sample_order,ticker,filing_position,accession,primary_document,candidate_passages
99,DHR,F1,0000313616-19-000148,dhr-2019927x10q.htm,120
99,DHR,F2,0000313616-20-000041,dhr-20191231x10xk.htm,131
99,DHR,F3,0000313616-20-000093,dhr-202043x10q.htm,111
99,DHR,F4,0000313616-20-000120,dhr-202073x10q.htm,113
99,DHR,F5,0000313616-20-000142,dhr-20201002.htm,118
100,IQV,F1,0001564590-19-039268,iqv-10q_20190930.htm,84
100,IQV,F2,0001564590-20-004901,iqv-10k_20191231.htm,124
100,IQV,F3,0001478242-20-000029,iqv-20200331.htm,91
100,IQV,F4,0001478242-20-000047,iqv-20200630.htm,92
100,IQV,F5,0001478242-20-000075,iqv-20200930.htm,89
101,ABMD,F1,0001564590-19-039144,abmd-10q_20190930.htm,82
101,ABMD,F2,0001564590-20-003682,abmd-10q_20191231.htm,84
101,ABMD,F3,0001564590-20-026547,abmd-10k_20200331.htm,106
101,ABMD,F4,0001564590-20-037706,abmd-10q_20200630.htm,84
101,ABMD,F5,0001564590-20-051944,abmd-10q_20200930.htm,84
102,MDT,F1,0001613103-19-000038,mdt-2020q1x10q.htm,96
102,MDT,F2,0001613103-19-000056,mdt-20191025.htm,96
102,MDT,F3,0001613103-20-000007,mdt-20200124.htm,96
102,MDT,F4,0001613103-20-000021,mdt-20200424.htm,122
102,MDT,F5,0001613103-20-000033,mdt-20200731.htm,86
103,MCK,F1,0000927653-19-000021,mck10q09302019.htm,94
103,MCK,F2,0000927653-20-000016,mck10q12312019.htm,95
103,MCK,F3,0000927653-20-000033,mck10k3312020.htm,129
103,MCK,F4,0000927653-20-000061,mck-20200630.htm,92
103,MCK,F5,0000927653-20-000093,mck-20200930.htm,99
104,REGN,F1,0001532176-19-000034,regn-093019x10q.htm,96
104,REGN,F2,0001532176-20-000008,regn-123119x10k.htm,112
104,REGN,F3,0001804220-20-000011,regn-033120x10q.htm,98
104,REGN,F4,0001804220-20-000022,regn-20200630.htm,101
104,REGN,F5,0001804220-20-000030,regn-20200930.htm,103
105,ALGN,F1,0001097149-19-000036,algn-20190930.htm,90
105,ALGN,F2,0001097149-20-000008,algn-20191231x10k.htm,100
105,ALGN,F3,0001097149-20-000025,algn-20200331.htm,91
105,ALGN,F4,0001097149-20-000049,algn-20200630.htm,92
105,ALGN,F5,0001097149-20-000052,algn-20200930.htm,93
106,ABBV,F1,0001551152-19-000030,abbv-20190930x10q.htm,88
106,ABBV,F2,0001551152-20-000007,abbv-20191231x10k.htm,106
106,ABBV,F3,0001551152-20-000015,abbv-20200331x10q.htm,79
106,ABBV,F4,0001551152-20-000023,abbv-20200630x10q.htm,92
106,ABBV,F5,0001551152-20-000032,abbv-20200930x10q.htm,91
107,BIO,F1,0001628280-19-013083,a10q93019.htm,94
107,BIO,F2,0000012208-20-000012,a10k123119.htm,104
107,BIO,F3,0000012208-20-000022,a10q33120.htm,96
107,BIO,F4,0000012208-20-000039,bio-20200630.htm,97
107,BIO,F5,0000012208-20-000055,bio-20200930.htm,98
108,CI,F1,0001739940-19-000012,ci-20190930.htm,93
108,CI,F2,0001739940-20-000006,ci-20191231.htm,125
108,CI,F3,0001739940-20-000012,ci-20200331.htm,95
108,CI,F4,0001739940-20-000017,ci-20200630.htm,95
108,CI,F5,0001739940-20-000021,ci-20200930.htm,97
109,VAR,F1,0000203527-19-000025,varian10-k2019q4.htm,155
109,VAR,F2,0000203527-20-000008,var-20200103.htm,101
109,VAR,F3,0000203527-20-000015,var-20200403.htm,108
109,VAR,F4,0000203527-20-000016,var-20200703.htm,128
109,VAR,F5,0000203527-20-000027,var-20201002.htm,151
110,RMD,F1,0000943819-19-000029,rmd-20190930x10q.htm,83
110,RMD,F2,0000943819-20-000003,rmd-20191231x10q.htm,83
110,RMD,F3,0000943819-20-000008,rmd-20200331x10q.htm,86
110,RMD,F4,0000943819-20-000013,rmd-20200630x10k.htm,117
110,RMD,F5,0000943819-20-000024,rmd-20200930x10q.htm,85
111,PKI,F1,0000031791-19-000014,pki-09292019x10qdocume.htm,86
111,PKI,F2,0000031791-20-000003,pki1229201910k.htm,96
111,PKI,F3,0000031791-20-000006,pki-04052020x10qdocume.htm,87
111,PKI,F4,0001628280-20-012418,pki-20200705.htm,88
111,PKI,F5,0000031791-20-000010,pki-20201004.htm,88
112,PFE,F1,0000078003-19-000082,pfe-09292019x10q.htm,121
112,PFE,F2,0000078003-20-000014,pfe-12312019x10kshell.htm,120
112,PFE,F3,0000078003-20-000037,pfe-03292020x10q.htm,118
112,PFE,F4,0000078003-20-000060,pfe-06282020x10q.htm,119
112,PFE,F5,0000078003-20-000070,pfe-20200927.htm,120
