sample_order,sector,ticker,company_name,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,scorer_confidence,batch_status
10,consumer_discretionary,MGM,MGM Resorts,No Signal,N/A,LOW,NO,Casino/resort customers,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
11,consumer_discretionary,NKE,Nike Inc.,SP002,Strong,HIGH,NO,Existing consumers,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
12,consumer_discretionary,ORLY,O'Reilly Automotive,SP004,Very Strong,HIGH,NO,Retail/wholesale customers,Commodity/tariff acquisition-cost increases are explicitly passed through in higher retail/wholesale prices at F1 and repeated through F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
13,consumer_discretionary,MAR,Marriott International,No Signal,N/A,LOW,NO,N/A,"Filings identify wage/labor and demand risk but no qualifying customer pricing, entitlement, migration or cost-transfer mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
14,consumer_discretionary,BWA,BorgWarner,SP004,Moderate,LOW,YES,OEM customers,"F1 describes tariff/commodity pressure; F2 newly makes customer pass-through, delayed cost recovery and material pass-through clauses explicit. Later filings retain the cost-recovery architecture though F5 is less explicit.",Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
15,consumer_discretionary,MCD,McDonald's,SP002,Moderate,LOW,NO,Restaurant customers,Menu price increases are already an operating sales driver at F1; later filings do not introduce a materially new or stronger customer-yield mechanism.,Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
16,consumer_discretionary,APTV,Aptiv,SP004,Strong,HIGH,NO,Vehicle-manufacturer customers,Commodity-cost escalation clauses and customer/supplier mitigation are explicit at F1 and repeated through F5; no semantic acceleration.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
17,consumer_discretionary,CMG,Chipotle Mexican Grill,SP004,Strong,HIGH,NO,Restaurant customers,Menu-price actions and their margin/average-check effects are already explicit at F1; later inflation-offset language makes the cost link clearer but does not create a new mechanism.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
18,consumer_discretionary,SBUX,Starbucks,SP004,Weak,LOW,NO,Store customers,"Filings repeatedly frame possible price increases as a response to product/input costs, but the language remains hypothetical/risk-oriented rather than a concrete customer-transfer action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
19,consumer_discretionary,WHR,Whirlpool Corporation,SP004,Weak,LOW,NO,Appliance customers,"Tariffs and freight/raw-material pressure are explicit, but the frozen filings do not establish a concrete company customer-transfer mechanism.",Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
20,consumer_discretionary,F,Ford Motor Company,No Signal,N/A,LOW,NO,N/A,Commodity/tariff and restructuring language does not establish a qualifying customer-economic mechanism.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
21,consumer_discretionary,TJX,TJX Companies,SP004,Weak,LOW,NO,Retail customers,"Tariff effects and potential pass-throughs are discussed, but customer transfer remains uncertain/hypothetical rather than an implemented mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
22,consumer_discretionary,DPZ,Domino's,SP004,Weak,LOW,NO,Customers/franchisees,The 10-K says increased operating costs may not be passable to customers/franchisees; later filings do not convert that risk into a concrete transfer action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
23,consumer_discretionary,HLT,Hilton Worldwide,No Signal,N/A,LOW,NO,N/A,Labor/inflation risks and possible revenue offsets are generic; no qualifying customer-economic action is specified.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
24,consumer_discretionary,LB,L Brands,SP002,Strong,HIGH,YES,Retail customers,Trajectory moves from no qualifying mechanism to a concrete Victoria's Secret profit plan emphasizing full-price selling and then lower promotional activity/more profitable selling at F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
25,consumer_discretionary,UA,Under Armour,No Signal,N/A,LOW,NO,N/A,"Inflation risk notes that selling prices may need to rise, but the filings do not establish an implemented or increasingly explicit customer-transfer mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
26,consumer_discretionary,PVH,PVH,SP004,Weak,LOW,NO,Consumers,Tariff-related consumer price transfer is discussed as a limitation/hypothetical; the trajectory does not become a concrete sustained customer action.,Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
27,consumer_discretionary,LVS,Las Vegas Sands,No Signal,N/A,LOW,NO,N/A,"Casino/resort filings contain demand and market-risk discussion but no qualifying customer pricing, yield, entitlement, migration or cost-transfer mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
28,consumer_discretionary,AAP,Advance Auto Parts,SP002,Strong,HIGH,YES,Retail/DIY customers,"F5 newly makes favorable pricing actions a repeated, explicit driver of gross-margin improvement; this is materially more concrete than the earlier frozen filings.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
