sample_order,sector,ticker,company_name,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,scorer_confidence,batch_status
63,financials,USB,U.S. Bancorp,No Signal,N/A,LOW,NO,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
64,financials,GS,Goldman Sachs,No Signal,N/A,LOW,NO,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
65,financials,UNM,Unum Group,SP002,Strong,HIGH,NO,Policyholders,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
66,financials,FITB,Fifth Third Bancorp,No Signal,N/A,LOW,NO,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
67,financials,MS,Morgan Stanley,No Signal,N/A,LOW,NO,N/A,Fees and commissions are ordinary revenue categories; the frozen F5 filing does not establish a qualifying new or intensified customer-economic mechanism.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
68,financials,AJG,Arthur J. Gallagher & Co.,No Signal,N/A,LOW,NO,N/A,"Commission and fee growth is reported, but the evidence does not establish a specific company-originated pricing/packaging action at F5.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
69,financials,AMP,Ameriprise Financial,SP002,Strong,HIGH,NO,Long-term-care policyholders,Approved/expected premium rate increases and benefit reductions are explicit already at F1 and remain part of the LTC economics at F5; high intensity but static.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
70,financials,SCHW,Charles Schwab Corporation,No Signal,N/A,LOW,NO,N/A,The salient 2019 pricing action eliminated online trading commissions and reduced customer charges; this is opposite-direction to SP002 yield extraction and does not qualify.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
71,financials,CBOE,Cboe Global Markets,No Signal,N/A,LOW,NO,N/A,"Regulatory Section 31 pass-through charges appear mid-window, but no sufficiently specific qualifying F5 customer-yield action is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
72,financials,L,Loews Corporation,SP004,Strong,HIGH,NO,Insurance and packaging customers,"Resin-price changes are contractually passed through to packaging customers from F1, while CNA also reports rate increases; customer cost-transfer is explicit and persistent rather than accelerating.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
73,financials,FLT,Fleetcor,No Signal,N/A,LOW,NO,N/A,"Processing expenses, sales commissions and merchant/customer servicing costs do not establish a qualifying customer-facing pricing action at F5.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
74,financials,RF,Regions Financial Corporation,No Signal,N/A,LOW,NO,N/A,"No specific qualifying F5 customer pricing, entitlement, migration or cost-transfer mechanism is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
75,financials,HBAN,Huntington Bancshares,No Signal,N/A,LOW,NO,N/A,The retrieved fee/surcharge references are institutional expense items or non-customer mechanics rather than a qualifying F5 action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
76,financials,TRV,Travelers Companies (The),No Signal,N/A,LOW,NO,N/A,Inflation and claims-cost discussion is not explicitly linked to a customer premium/rate action in the frozen F5 filing.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
77,financials,PYPL,PayPal,No Signal,N/A,LOW,NO,N/A,Transaction economics and protection losses are core operating mechanics; no specific qualifying new customer-yield action is established at F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
78,financials,BAC,Bank of America,No Signal,N/A,LOW,NO,N/A,The frozen evidence is dominated by banking-rate/accounting mechanics and does not establish a qualifying F5 customer-economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
79,financials,MA,Mastercard,No Signal,N/A,LOW,NO,N/A,"Interchange/no-surcharge litigation describes longstanding network rules and allegations, not a new or intensified company-originated F5 yield action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
80,financials,MET,MetLife,No Signal,N/A,LOW,NO,N/A,"F5 customer accommodations include deferred rate increases, fee waivers and premium credits; these are opposite-direction/customer-favorable and do not qualify.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
81,financials,PRU,Prudential Financial,SP002,Strong,HIGH,NO,Life-insurance customers,"Product design and pricing actions are already implemented at F1; F5 reports sales ahead of an August 2020 pricing increase. Specific and commercial, but the same pricing mechanism is pre-existing.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
82,financials,SIVB,SVB Financial Group,No Signal,N/A,LOW,NO,N/A,Loan/deposit yields largely reflect prevailing interest-rate conditions; no qualifying F5 customer-yield mechanism is established.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
83,financials,FIS,Fidelity National Information Services,No Signal,N/A,LOW,NO,N/A,"Client platform migration may affect FIS revenue depending on which system survives, but it is customer-led consolidation rather than a company-originated qualifying migration mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
84,financials,PFG,Principal Financial Group,No Signal,N/A,LOW,NO,N/A,Administrative and other fee revenues are reported as existing contract economics without a qualifying F5 pricing/packaging action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
85,financials,AIZ,Assurant,SP002,Strong,HIGH,NO,Lender-placed insurance policyholders/clients,Premium rate increases in lender-placed insurance are explicit at F1 and continue to contribute at F5; persistent implemented pricing rather than acceleration.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
86,financials,MKTX,MarketAxess,SP002,Strong,HIGH,YES,Dealer clients,"F1 shows dealers migrating away from monthly distribution-fee plans to all-variable plans; by F4/F5 the direction reverses and dealers migrate into plans incorporating a monthly distribution fee, explicitly increasing distribution-fee revenue. This is a material strengthening of customer-yield structure.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
87,financials,AFL,Aflac,No Signal,N/A,LOW,NO,N/A,"No qualifying F5 customer pricing, entitlement, migration or cost-transfer mechanism is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
88,financials,RE,Everest Re,No Signal,N/A,LOW,NO,N/A,Premium/loss and inflation references are insurance operating economics without a specific qualifying F5 customer action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
89,financials,C,Citigroup,No Signal,N/A,LOW,NO,N/A,Deposit/loan pricing assumptions and transaction fees are ordinary banking mechanics; no specific qualifying F5 yield action is established.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
90,financials,DFS,Discover Financial,No Signal,N/A,LOW,NO,N/A,EMV migration litigation concerns alleged fraud-liability allocation rather than a current company-originated qualifying F5 economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
91,financials,STT,State Street Corporation,No Signal,N/A,LOW,NO,N/A,Capital surcharges and service-fee revenue categories do not establish a qualifying customer-facing F5 pricing action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
92,financials,AON,Aon plc,No Signal,N/A,LOW,NO,N/A,"No qualifying F5 customer pricing, entitlement, migration or cost-transfer mechanism is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
93,financials,GL,Globe Life,No Signal,N/A,LOW,NO,N/A,"Earlier regulatory discussion contemplates premium-rate approvals, but the frozen F5 filing does not establish a sufficiently specific qualifying action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
94,financials,CFG,Citizens Financial Group,No Signal,N/A,LOW,NO,N/A,Inflation and valuation assumptions are non-customer accounting/economic mechanics; no qualifying F5 action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
95,financials,PBCT,People's United Financial,No Signal,N/A,LOW,NO,N/A,"FDIC surcharge references are bank regulatory costs, not customer charges, and no qualifying F5 action is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
96,financials,RJF,Raymond James Financial,No Signal,N/A,LOW,NO,N/A,"An account-servicing fee increase is explicit at F1, but the frozen F5 evidence does not sustain a qualifying customer-yield signal; no acceleration.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
97,financials,TROW,T. Rowe Price,No Signal,N/A,LOW,NO,N/A,Advisory/administrative service fees describe the standing business model without a qualifying new or intensified F5 customer-economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
98,financials,NDAQ,"Nasdaq, Inc.",No Signal,N/A,LOW,NO,N/A,Section 31 fees are regulatory pass-through charges; they do not rise above Moderate and are not a company-originated yield-optimization action at F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
