sample_order,ticker,company_name,sector,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,batch_status
214,LNT,Alliant Energy,utilities,SP004,Very Strong,HIGH,NO,Regulated utility customers,"Approved base-rate increases, riders and cost-recovery mechanisms are explicit from F1 through F5; very strong but static.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
215,ED,Consolidated Edison,utilities,SP002,Strong,HIGH,NO,Regulated utility customers,Multi-year approved base-rate plans are already explicit early in the trajectory and remain operative; strong but non-accelerating.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
216,CNP,CenterPoint Energy,utilities,No Signal,N/A,LOW,NO,N/A,The prominent frozen-window mechanisms return tax benefits/credits to customers or discuss pending recovery; no qualifying High F5 customer extraction signal.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
217,D,Dominion Energy,utilities,SP004,Very Strong,HIGH,NO,Regulated utility customers,Riders and purchased-gas/base-rate recovery explicitly transfer approved costs into customer rates from the opening filings; very strong but static.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
218,CMS,CMS Energy,utilities,SP002,Very Strong,HIGH,YES,Regulated utility customers,"Trajectory strengthens from customer refunds/rate-risk framing to an approved $144 million annual rate increase effective October 1, 2020; material concrete implementation.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
219,DTE,DTE Energy,utilities,SP002,Strong,HIGH,YES,Regulated utility customers,Trajectory moves from generic regulatory/cost-recovery exposure to explicit large base-rate requests tied to infrastructure and O&M investment; materially more concrete.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
220,PNW,Pinnacle West Capital,utilities,SP002,Very Strong,HIGH,NO,Regulated utility customers,A specific $69 million retail base-rate increase application is already explicit at F1 and remains the same mechanism through F5.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
221,FE,FirstEnergy,utilities,SP004,Very Strong,HIGH,NO,Regulated utility customers,Distribution riders and quarterly cost recovery are explicit from F1; later cap/rate approvals strengthen magnitude but do not introduce a new mechanism.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
222,DUK,Duke Energy,utilities,SP002,Very Strong,HIGH,NO,Regulated utility customers,"A 12.3% retail base-revenue increase request is already explicit at F1; subsequent settlement/recovery proceedings are continuation, not acceleration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
223,EVRG,Evergy,utilities,SP004,Moderate,LOW,NO,Regulated utility customers,"Cost-recovery architecture is explicit, but rate moratoria and under-recovery risk keep F5 below Strong customer-transfer intensity.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
224,EIX,Edison International,utilities,SP004,Moderate,LOW,NO,Regulated utility customers,"Customer price/cost recovery is discussed through balancing accounts, but F5 does not establish a Strong new company-originated transfer mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
225,AES,AES Corporation,utilities,SP004,Moderate,LOW,NO,Regulated utility customers,"Cost-recovery mechanisms exist, while F5 also describes constraints preventing contractual pass-through; intensity remains below Strong.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
