sample_order,sector,ticker,company_name,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,batch_status
157,information_technology,KEYS,Keysight Technologies,No Signal,N/A,LOW,NO,N/A,License and renewal accounting does not establish a qualifying yield or migration action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
158,information_technology,IT,Gartner,No Signal,N/A,LOW,NO,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
159,information_technology,KLAC,KLA Corporation,SP002,Moderate,LOW,NO,Installed-base service customers,"Maintenance/support renewals generate recurring service revenue, but no Strong new yield mechanism or acceleration is present.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
160,information_technology,NLOK,NortonLifeLock,SP002,Moderate,LOW,NO,Direct consumer subscribers,"ARPU and retention are explicitly monitored to understand monetization and renewals, but the filings do not identify a Strong new mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
161,information_technology,NVDA,Nvidia,No Signal,N/A,LOW,NO,N/A,License/support accounting is not a qualifying customer-economic action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
162,information_technology,XLNX,Xilinx,No Signal,N/A,LOW,NO,N/A,Licensing and piracy references do not show entitlement monetization or yield action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
163,information_technology,SWKS,Skyworks Solutions,No Signal,N/A,LOW,NO,N/A,Unauthorized-use language concerns protection of company IP rather than monetizing unentitled customer access.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
164,information_technology,CTXS,Citrix,SP003,Very Strong,HIGH,YES,Workspace/Networking customers,"Subscription transition becomes materially more explicit: customers shift away from perpetual offerings, subscription ARR accelerates, and new perpetual Workspace licenses are planned to end; strong architecture migration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
165,information_technology,TDY,Teledyne Technologies,No Signal,N/A,LOW,NO,N/A,No qualifying customer-economic mechanism.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
166,information_technology,AKAM,Akamai Technologies,No Signal,N/A,LOW,NO,N/A,Open-source/IP license language is non-qualifying.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
167,information_technology,INTU,Intuit,SP002,Moderate,LOW,NO,QuickBooks desktop customers,"Desktop subscriptions, memberships and related paid services are established recurring monetization, but no Strong new yield mechanism emerges.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
168,information_technology,CDNS,Cadence Design Systems,SP002,Moderate,LOW,NO,EDA/IP customers,"Recurring software, maintenance and usage-based royalty structures are established; no material strengthening is shown.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
169,information_technology,CRM,Salesforce,SP002,Very Strong,HIGH,NO,Existing enterprise subscribers,"Revenue is explicitly driven by upgrades and additional subscriptions from existing customers; premium support and priority support are paid add-ons. The model is already explicit at F1, so no acceleration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
170,information_technology,INTC,Intel,No Signal,N/A,LOW,NO,N/A,"Product tiers describe technology/performance positioning, not a qualifying customer-economic migration or yield action.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
171,information_technology,JNPR,Juniper Networks,SP002,Moderate,LOW,NO,Networking customers,"Management intends to better monetize software through subscriptions/SaaS/perpetual licenses, but the signal is not persistently Strong at F5 and does not meet the frozen acceleration threshold.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
172,information_technology,ROP,Roper Technologies,No Signal,N/A,LOW,NO,N/A,"SaaS subscription growth is ordinary business mix, without a qualifying new customer-yield action.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
173,information_technology,VRSN,Verisign,SP002,Very Strong,HIGH,NO,Domain registrants,Revenue is explicitly driven by renewal rates and permitted price increases from F1 through F5; very strong but fully pre-existing.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
174,information_technology,AVGO,Broadcom,SP002,Moderate,LOW,NO,Software customers,"Software seat-license/subscription usage is monitored, but no Strong yield expansion or migration mechanism is identified.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
175,information_technology,ACN,Accenture,No Signal,N/A,LOW,NO,N/A,Unauthorized-use and consumption references do not establish a qualifying customer-economic action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
176,information_technology,LRCX,Lam Research,No Signal,N/A,LOW,NO,N/A,Lease renewals and hedge discontinuation are non-customer mechanics.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
177,information_technology,SNPS,Synopsys,SP002,Moderate,LOW,NO,EDA/IP customers,"Time-based technology subscription licenses and usage royalties are established monetization architecture, without a Strong new mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
178,information_technology,WDC,Western Digital,SP002,Moderate,LOW,NO,IP/support customers,Usage-based royalties and support/maintenance contracts are established; no material strengthening.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
179,information_technology,HPQ,HP Inc.,SP002,Moderate,LOW,NO,Printing customers,"Instant Ink and continuous-supply subscriptions expand monetization of the installed customer base, but the model is already present and not Strong at F5.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
180,information_technology,MSFT,Microsoft,SP002,Moderate,LOW,NO,Office/Microsoft 365 customers,Subscription and licensed on-premises models coexist throughout the frozen filings; no new Strong customer-yield action is identified.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
181,information_technology,QRVO,Qorvo,No Signal,N/A,LOW,NO,N/A,ASP erosion and network migration are market/product conditions rather than a company-originated customer-economic action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
182,information_technology,ZBRA,Zebra Technologies,SP002,Moderate,LOW,NO,Enterprise customers,"Maintenance, cloud subscriptions and services are recurring paid offerings but remain an established architecture without material strengthening.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
183,information_technology,CTSH,Cognizant,No Signal,N/A,LOW,NO,N/A,Visa renewal/migration and accounting references are non-qualifying.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
184,information_technology,WU,Western Union,No Signal,N/A,LOW,NO,N/A,Migration-pattern and regulatory-license references do not describe a qualifying customer-economic action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
