sample_order,sector,ticker,company_name,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,scorer_confidence,batch_status
52,energy,FANG,Diamondback Energy,No Signal,N/A,LOW,NO,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
53,energy,NOV,Nov,No Signal,N/A,LOW,NO,N/A,"The annual F2 filing discloses surcharges and price adjustments used to mitigate higher raw-material costs, but the mechanism is not sustained or materially strengthened through F5; F5 is dominated by customer capital-spending and commodity-market weakness.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
54,energy,FTI,TechnipFMC,No Signal,N/A,LOW,NO,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
55,energy,APA,APA Corporation,No Signal,N/A,LOW,NO,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
56,energy,COP,ConocoPhillips,No Signal,N/A,LOW,NO,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
57,energy,OXY,Occidental Petroleum,No Signal,N/A,LOW,NO,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
58,energy,KMI,Kinder Morgan,SP002,Moderate,LOW,NO,Pipeline shippers,"Indexed tariff/rate increases charged to shippers are explicit at F1 and remain explicit at F5, but the mechanism is regulated, contested and materially static rather than newly strengthening.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
59,energy,HES,Hess Corporation,No Signal,N/A,LOW,NO,N/A,Selling-price and midstream-tariff references primarily reflect commodity markets and operating economics; environmental/JDA cost-recovery references are not customer-economic actions.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
60,energy,DVN,Devon Energy,No Signal,N/A,LOW,NO,N/A,The apparent price changes are commodity-market movements and hedging results; divestitures and cost reductions do not create a qualifying customer-economic mechanism.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
61,energy,BKR,Baker Hughes,No Signal,N/A,LOW,NO,N/A,"Customer spending and demand are linked to commodity prices, while derivatives hedge input costs; the frozen filings do not establish a qualifying company-originated pricing or cost-transfer action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
62,energy,PXD,Pioneer Natural Resources,No Signal,N/A,LOW,NO,N/A,"Reported oil, NGL and gas prices are explicitly market prices received for commodities; derivative and transportation commitments do not constitute a qualifying company-originated customer-economic mechanism.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
