sample_order,ticker,company_name,sector,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,batch_status
185,NUE,Nucor,materials,SP004,Moderate,LOW,NO,Steel customers,"A raw-material surcharge/variable pricing mechanism is described, but it is conditional and not Strong at F5.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
186,PKG,Packaging Corporation of America,materials,SP002,Strong,HIGH,NO,Containerboard/box customers,"F5 explicitly announces containerboard and box price increases; pricing was already an operating mechanism at F1, so no acceleration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
187,ALB,Albemarle Corporation,materials,SP004,Moderate,LOW,NO,Chemical/materials customers,Ability to pass raw-material and energy cost increases is explicit but risk-framed rather than a Strong implemented F5 transfer.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
188,CF,CF Industries,materials,No Signal,N/A,LOW,NO,N/A,Selling prices are commodity/market outcomes rather than a company-originated customer-economic mechanism.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
189,MLM,Martin Marietta Materials,materials,SP002,Moderate,LOW,NO,Aggregates customers,Average selling-price gains are present but the frozen trajectory does not establish a Strong company-originated yield mechanism at F5.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
190,BLL,Ball Corporation,materials,SP004,Very Strong,HIGH,NO,Packaging customers,Contracts covering the majority of volume explicitly pass aluminum/metal price changes through to customers from F1 through F5; very strong but static.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
191,MOS,The Mosaic Company,materials,No Signal,N/A,LOW,NO,N/A,Fertilizer selling-price movements are described as market-price dynamics rather than a new company-originated customer action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
192,SEE,Sealed Air,materials,No Signal,N/A,LOW,NO,N/A,Discontinued-operation and reference-rate accounting language is non-qualifying.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
193,SHW,Sherwin-Williams,materials,No Signal,N/A,LOW,NO,N/A,Earlier selling-price increases are not carried into F5 as a qualifying Strong customer mechanism; F5 is dominated by mix and moderating raw-material costs.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
194,CE,Celanese,materials,No Signal,N/A,LOW,NO,N/A,Pass-through/price-increase language remains generic risk framing and is not a qualifying F5 action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
195,IFF,International Flavors & Fragrances,materials,SP004,Moderate,LOW,NO,Scent/flavor customers,"Earlier price increases offset input costs, but F5 does not retain a Strong current transfer mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
196,IP,International Paper,materials,SP002,Moderate,LOW,NO,Pulp/containerboard customers,"F5 projects higher price realization based on current pricing, but the evidence remains below Strong and does not establish acceleration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
197,WRK,WestRock,materials,No Signal,N/A,LOW,NO,N/A,"Discontinued-operation, financing-rate and selling-price/mix references do not establish a qualifying F5 mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
